env,method,top_fraction,seed,episode,sample_return,greedy_return,baseline
delayed_lever,learned_pruned_acct,0.10,6,180,1.68359375,2.0,1.450823020888579
delayed_lever,learned_pruned_acct,0.10,6,200,1.76171875,2.0,1.5397095232167566
delayed_lever,learned_pruned_acct,0.10,6,220,1.7421875,2.0,1.585947764680589
delayed_lever,learned_pruned_acct,0.10,6,240,1.921875,2.0,1.6796725289244911
delayed_lever,learned_pruned_acct,0.10,6,260,1.8828125,2.0,1.7168401914417937
delayed_lever,learned_pruned_acct,0.10,6,280,1.8828125,2.0,1.7165549090321333
delayed_lever,learned_pruned_acct,0.10,6,300,1.91796875,2.0,1.7544310604896176
delayed_lever,learned_pruned_acct,0.10,6,320,1.87890625,2.0,1.8168306586359213
delayed_lever,learned_pruned_acct,0.10,6,340,1.8984375,2.0,1.8541848875242104
delayed_lever,learned_pruned_acct,0.10,6,360,1.90234375,2.0,1.843570617435512
delayed_lever,learned_pruned_acct,0.10,6,380,1.95703125,2.0,1.8755482134144756
delayed_lever,learned_pruned_acct,0.10,6,400,1.87890625,2.0,1.896896711407595
delayed_lever,learned_pruned_acct,0.10,6,420,1.921875,2.0,1.9311674226215443
delayed_lever,learned_pruned_acct,0.10,6,440,1.94140625,2.0,1.9344289045323233
delayed_lever,learned_pruned_acct,0.10,6,460,1.9609375,2.0,1.9562242139490646
delayed_lever,learned_pruned_acct,0.10,6,480,1.9609375,2.0,1.9511570181691802
delayed_lever,learned_pruned_acct,0.10,6,500,1.9609375,2.0,1.9015036526940294
delayed_lever,learned_pruned_acct,0.10,6,520,1.9609375,2.0,1.9342430533497759
delayed_lever,learned_pruned_acct,0.10,6,540,1.94140625,2.0,1.9356733180458472
delayed_lever,learned_pruned_acct,0.10,6,560,2.0,2.0,1.9370367105621085
delayed_lever,learned_pruned_acct,0.10,6,580,1.9609375,2.0,1.9579652060433406
delayed_lever,learned_pruned_acct,0.10,6,600,1.98046875,2.0,1.9719372364634513
delayed_lever,learned_pruned_acct,0.10,6,620,1.9609375,2.0,1.9372367915847766
delayed_lever,learned_pruned_acct,0.10,6,640,1.94140625,2.0,1.9580987817290707
delayed_lever,learned_pruned_acct,0.10,6,660,2.0,2.0,1.9297933685015614
delayed_lever,learned_pruned_acct,0.10,6,680,2.0,2.0,1.9531294931415701
delayed_lever,learned_pruned_acct,0.10,6,700,1.94140625,2.0,1.9478651819278567
delayed_lever,learned_pruned_acct,0.10,6,720,1.94140625,2.0,1.9434912415178676
delayed_lever,learned_pruned_acct,0.10,6,740,1.98046875,2.0,1.9256255686639776
delayed_lever,learned_pruned_acct,0.10,6,760,1.94140625,2.0,1.9333162211393222
delayed_lever,learned_pruned_acct,0.10,6,780,2.0,2.0,1.938102994374432
delayed_lever,learned_pruned_acct,0.10,6,800,1.9609375,2.0,1.9586770656166006
delayed_lever,learned_pruned_acct,0.10,7,1,0.51953125,0.75,0.04
delayed_lever,learned_pruned_acct,0.10,7,20,0.66015625,2.0,0.17178441294853825
delayed_lever,learned_pruned_acct,0.10,7,40,0.6484375,2.0,0.2986448352657055
delayed_lever,learned_pruned_acct,0.10,7,60,0.8515625,2.0,0.479264620701151
delayed_lever,learned_pruned_acct,0.10,7,80,0.953125,2.0,0.6606082307211011
delayed_lever,learned_pruned_acct,0.10,7,100,1.140625,2.0,0.9392121841306759
delayed_lever,learned_pruned_acct,0.10,7,120,1.34375,2.0,1.0636546002561893
delayed_lever,learned_pruned_acct,0.10,7,140,1.5,2.0,1.099873400311305
delayed_lever,learned_pruned_acct,0.10,7,160,1.65234375,2.0,1.2958156297567252
delayed_lever,learned_pruned_acct,0.10,7,180,1.71484375,2.0,1.331416297587479
delayed_lever,learned_pruned_acct,0.10,7,200,1.6953125,2.0,1.5153482993133234
delayed_lever,learned_pruned_acct,0.10,7,220,1.8359375,2.0,1.6498673896709908
delayed_lever,learned_pruned_acct,0.10,7,240,1.7421875,2.0,1.7191794741729332
delayed_lever,learned_pruned_acct,0.10,7,260,1.8984375,2.0,1.724833938799395
delayed_lever,learned_pruned_acct,0.10,7,280,1.8828125,2.0,1.7478109198138372
delayed_lever,learned_pruned_acct,0.10,7,300,1.8828125,2.0,1.8076265596781327
delayed_lever,learned_pruned_acct,0.10,7,320,1.8828125,2.0,1.8515516739184237
delayed_lever,learned_pruned_acct,0.10,7,340,1.89453125,2.0,1.8610966327682592
delayed_lever,learned_pruned_acct,0.10,7,360,1.90234375,2.0,1.8473637087094568
delayed_lever,learned_pruned_acct,0.10,7,380,1.90234375,2.0,1.877671974983112
delayed_lever,learned_pruned_acct,0.10,7,400,1.921875,2.0,1.8961867758080688
delayed_lever,learned_pruned_acct,0.10,7,420,1.9609375,2.0,1.913315080684442
delayed_lever,learned_pruned_acct,0.10,7,440,1.8828125,2.0,1.9190692528339865
delayed_lever,learned_pruned_acct,0.10,7,460,1.98046875,2.0,1.9052770250970605
delayed_lever,learned_pruned_acct,0.10,7,480,1.94140625,2.0,1.91226218684644
delayed_lever,learned_pruned_acct,0.10,7,500,1.9375,2.0,1.941425536514324
delayed_lever,learned_pruned_acct,0.10,7,520,1.9609375,2.0,1.9232054339380469
delayed_lever,learned_pruned_acct,0.10,7,540,1.94140625,2.0,1.9283045153373783
delayed_lever,learned_pruned_acct,0.10,7,560,1.94140625,2.0,1.933294474363516
delayed_lever,learned_pruned_acct,0.10,7,580,1.921875,2.0,1.9337637209938012
delayed_lever,learned_pruned_acct,0.10,7,600,1.98046875,2.0,1.9557801321160673
