env,perturbation,method,seed,episode,sample_return,greedy_return,baseline
delayed_lever,scale_0.25,perturbed_agent_time_cf,10,360,1.41015625,2.0,1.1925577058725778
delayed_lever,scale_0.25,perturbed_agent_time_cf,10,380,1.47265625,2.0,1.25523715807036
delayed_lever,scale_0.25,perturbed_agent_time_cf,10,400,1.421875,2.0,1.27642873848709
delayed_lever,scale_0.25,perturbed_agent_time_cf,11,1,0.53125,2.0,0.015
delayed_lever,scale_0.25,perturbed_agent_time_cf,11,20,0.6171875,2.0,0.20258141625501683
delayed_lever,scale_0.25,perturbed_agent_time_cf,11,40,0.61328125,2.0,0.31443209520364224
delayed_lever,scale_0.25,perturbed_agent_time_cf,11,60,0.69921875,2.0,0.4089706102907541
delayed_lever,scale_0.25,perturbed_agent_time_cf,11,80,0.72265625,2.0,0.487290406405864
delayed_lever,scale_0.25,perturbed_agent_time_cf,11,100,0.76171875,2.0,0.5680655545145765
delayed_lever,scale_0.25,perturbed_agent_time_cf,11,120,0.73828125,2.0,0.5851769575479706
delayed_lever,scale_0.25,perturbed_agent_time_cf,11,140,0.90625,2.0,0.7149954762341494
delayed_lever,scale_0.25,perturbed_agent_time_cf,11,160,0.7890625,2.0,0.7508509572080544
delayed_lever,scale_0.25,perturbed_agent_time_cf,11,180,0.97265625,2.0,0.8326319740231396
delayed_lever,scale_0.25,perturbed_agent_time_cf,11,200,1.0703125,2.0,0.8260704958839284
delayed_lever,scale_0.25,perturbed_agent_time_cf,11,220,1.109375,2.0,0.8838316342379133
delayed_lever,scale_0.25,perturbed_agent_time_cf,11,240,1.23046875,2.0,0.8954075310548585
delayed_lever,scale_0.25,perturbed_agent_time_cf,11,260,1.16015625,2.0,0.9521915961483514
delayed_lever,scale_0.25,perturbed_agent_time_cf,11,280,1.23828125,2.0,1.0988676470113896
delayed_lever,scale_0.25,perturbed_agent_time_cf,11,300,1.15234375,2.0,1.1523328327462348
delayed_lever,scale_0.25,perturbed_agent_time_cf,11,320,1.27734375,2.0,1.1712205936799638
delayed_lever,scale_0.25,perturbed_agent_time_cf,11,340,1.22265625,2.0,1.2060205755699225
delayed_lever,scale_0.25,perturbed_agent_time_cf,11,360,1.37109375,2.0,1.3023936868046977
delayed_lever,scale_0.25,perturbed_agent_time_cf,11,380,1.34765625,2.0,1.2330780752606372
delayed_lever,scale_0.25,perturbed_agent_time_cf,11,400,1.44921875,2.0,1.2011580942593583
delayed_lever,scale_0.25,perturbed_agent_time_cf,12,1,0.515625,2.0,0.005
delayed_lever,scale_0.25,perturbed_agent_time_cf,12,20,0.625,2.0,0.19362254554067201
delayed_lever,scale_0.25,perturbed_agent_time_cf,12,40,0.71875,2.0,0.32524441635702744
delayed_lever,scale_0.25,perturbed_agent_time_cf,12,60,0.671875,2.0,0.4453255100972232
delayed_lever,scale_0.25,perturbed_agent_time_cf,12,80,0.65625,2.0,0.5372265124583064
delayed_lever,scale_0.25,perturbed_agent_time_cf,12,100,0.6953125,2.0,0.674301689760081
delayed_lever,scale_0.25,perturbed_agent_time_cf,12,120,0.8203125,2.0,0.6870079113207844
delayed_lever,scale_0.25,perturbed_agent_time_cf,12,140,0.8828125,2.0,0.7266112448393945
delayed_lever,scale_0.25,perturbed_agent_time_cf,12,160,0.89453125,2.0,0.7344615459841148
delayed_lever,scale_0.25,perturbed_agent_time_cf,12,180,0.9296875,2.0,0.7960976839039007
delayed_lever,scale_0.25,perturbed_agent_time_cf,12,200,1.03125,2.0,0.8467779888310724
delayed_lever,scale_0.25,perturbed_agent_time_cf,12,220,1.0390625,2.0,0.9672853310189559
delayed_lever,scale_0.25,perturbed_agent_time_cf,12,240,1.125,2.0,0.9759473986901471
delayed_lever,scale_0.25,perturbed_agent_time_cf,12,260,1.06640625,2.0,1.064827751541496
delayed_lever,scale_0.25,perturbed_agent_time_cf,12,280,1.203125,2.0,1.1897917045178825
delayed_lever,scale_0.25,perturbed_agent_time_cf,12,300,1.18359375,2.0,1.1004812966802813
delayed_lever,scale_0.25,perturbed_agent_time_cf,12,320,1.375,2.0,1.1711577448757262
delayed_lever,scale_0.25,perturbed_agent_time_cf,12,340,1.37890625,2.0,1.274398202958903
delayed_lever,scale_0.25,perturbed_agent_time_cf,12,360,1.48046875,2.0,1.2446449484847142
delayed_lever,scale_0.25,perturbed_agent_time_cf,12,380,1.359375,2.0,1.3526727373228586
delayed_lever,scale_0.25,perturbed_agent_time_cf,12,400,1.51171875,2.0,1.4081877073549183
delayed_lever,scale_0.25,perturbed_agent_time_cf,13,1,0.5859375,2.0,0.015
delayed_lever,scale_0.25,perturbed_agent_time_cf,13,20,0.66015625,2.0,0.173575457246658
delayed_lever,scale_0.25,perturbed_agent_time_cf,13,40,0.67578125,2.0,0.3908668138856858
delayed_lever,scale_0.25,perturbed_agent_time_cf,13,60,0.72265625,2.0,0.43893640628727965
delayed_lever,scale_0.25,perturbed_agent_time_cf,13,80,0.640625,2.0,0.49834167237759247
delayed_lever,scale_0.25,perturbed_agent_time_cf,13,100,0.8046875,2.0,0.5460541654279618
delayed_lever,scale_0.25,perturbed_agent_time_cf,13,120,0.87890625,2.0,0.6583758473748266
